,contract,open_qty,fifo_wap,lifo_wap,exchange,expiry,client_code,strategy,code,tagging
0,GOLD,91.0,75220.1,75220.1,MCX,2025-06-05,1,RATIO,RATIO,GC/SI
1,GOLD,345.0,86787.71,85572.92,MCX,2025-06-05,3,RATIO,RATIO,GC/SI
2,SILVER,1050.0,87067.6,87067.6,MCX,2025-07-05,2,RATIO,RATIO,GC/SI
3,SILVER,4950.0,88283.69,88283.69,MCX,2025-07-05,3,RATIO,RATIO,GC/SI
4,GOLD,25.0,73592.93,73043.63,MCX,2025-08-05,1,RATIO,RATIO,GC/SI
5,SILVER Mini,45.0,87318.0,87318.0,MCX,2025-08-30,3,RATIO,RATIO,Silver
6,SILVER,5400.0,81572.72,81572.72,MCX,2025-09-05,3,RATIO,RATIO,GC/SI
7,SILVER Mini,5.0,87140.0,87140.0,MCX,2025-06-28,1,RATIO,RATIO,Silver
8,GOLD,228.0,71900.65,71966.65,MCX,2025-08-05,4,RATIO,RATIO,GC/SI
9,GOLD,103.0,86740.0,85336.63,MCX,2025-06-05,2,RATIO,RATIO,GC/SI
10,GOLD,145.0,87222.04,87222.04,MCX,2025-06-05,5,RATIO,RATIO,GC/SI
11,GOLD,32.0,72216.16,72216.16,MCX,2025-08-05,2,RATIO,RATIO,GC/SI
12,SILVER,6450.0,89378.71,89378.71,MCX,2025-07-05,4,RATIO,RATIO,GC/SI
13,SILVER,4350.0,79063.63,79063.63,MCX,2025-09-05,5,RATIO,RATIO,GC/SI
14,SILVER,6000.0,80777.77,80777.77,MCX,2025-09-05,2,RATIO,RATIO,GC/SI
15,SILVER,480.0,86869.75,86869.75,MCX,2025-07-05,1,RATIO,RATIO,GC/SI
16,GOLD,32.0,72822.91,0.0,MCX,2025-10-04,1,RATIO,RATIO,GC/SI
17,GOLD,221.0,73184.99,73184.99,MCX,2025-10-04,3,RATIO,RATIO,GC/SI
18,GOLD,35.0,72322.91,72322.91,MCX,2025-08-05,3,RATIO,RATIO,GC/SI
19,SILVER,180.0,79558.83,79558.83,MCX,2025-09-05,4,RATIO,RATIO,GC/SI
20,SILVER,5370.0,79223.63,79223.63,MCX,2025-09-05,1,RATIO,RATIO,GC/SI
